Fid,Temp,Wind,Date_Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Types_of_Junction,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Cause_of_accident,Accident_severity,Ambulace_Allocated,Ambulace_Pickedup,LATITUDE,LONGITUDE,Label
10.42.0.211-66.198.24.240-33749-443-6,30,4.3,15-11-22 12:00,60,Male,Owner,Above 10yr,Automobile,Residential areas,Unknown,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight Injury,No,No,41.04805053,-73.61428331,1
192.229.173.173-10.42.0.211-443-37571-6,29,4.7,15-11-22 12:01,50,Male,Employee,5-10yr,Lorry (41?100Q),  Recreational areas,Unknown,Vehicle with vehicle collision,2,1,Other,No priority to pedestrian,Slight Injury,Yes,Yes,41.62798344,-73.31161037,0
8.0.6.4-8.6.0.1-0-0-0,29,2.1,15-11-22 12:05,35,Male,Owner,2-5yr,Other,Office areas,Crossing,Vehicle with vehicle collision,1,1,Going straight,No priority to vehicle,Serious Injury,Yes,Yes,41.32262,-72.194891,0
10.42.0.211-98.139.199.204-37891-443-6,33,3.7,15-11-22 12:09,75,Male,Employee,5-10yr,Pick up upto 10Q, Outside rural areas,Y Shape,Vehicle with vehicle collision,2,1,Moving Backward,Driving carelessly,Serious Injury,Yes,Yes,41.12918,-73.384911,0
10.42.0.211-104.88.89.135-49567-443-6,35,3.7,15-11-22 12:17,45,Male,Employee,2-5yr,Lorry (11?40Q), Outside rural areas,Y Shape,Collision with roadside objects,2,1,Other,Changing lane to the right,Serious Injury,Yes,Yes,41.76873154,-72.69323839,0
224.0.0.251-10.42.0.1-5353-5353-17,29,2.6,15-11-22 12:21,30,Male,Employee,5-10yr,Motorcycle, Outside rural areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Serious Injury,Yes,Yes,41.72005761,-72.20255034,0
172.217.10.227-10.42.0.151-443-57709-6,30,5.2,15-11-22 12:21,70,Male,Employee,1-2yr,Pick up upto 10Q, Outside rural areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Serious Injury,No,No,29.17322621,-81.02513618,1
172.217.3.99-10.42.0.151-443-33645-6,30,5.1,15-11-22 12:25,25,Male,Employee,5-10yr,Lorry (11?40Q), Outside rural areas,Y Shape,Vehicle with vehicle collision,2,2,Going straight,Driving carelessly,Slight Injury,No,No,25.79619113,-80.19651074,1
10.42.0.211-10.42.0.1-30833-53-17,29,2.6,15-11-22 12:36,45,Male,Owner,1-3yr,Lorry (11?40Q),School areas,Y Shape,Vehicle with vehicle collision,2,2,Going straight,Driving to the left,Slight Injury,Yes,Yes,25.77514395,-80.24220582,0
172.217.10.42-10.42.0.211-443-43991-6,27,3,15-11-22 12:37,40,Male,Employee,Above 10yr,Automobile, Outside rural areas,Y Shape,Vehicle with vehicle collision,3,3,Going straight,Driving to the left,Slight Injury,Yes,Yes,30.138886,-83.223068,0
10.42.0.1-10.42.0.42-53-63312-17,35,3,15-11-22 12:47,35,Male,Employee,Below 1yr,Automobile, Outside rural areas,Y Shape,Vehicle with vehicle collision,3,3,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,28.19570683,-82.73285213,0
172.217.12.138-10.42.0.151-443-33076-6,28,2.6,15-11-22 12:52,30,Male,Employee,2-5yr,Other, Outside rural areas,Y Shape,Vehicle with vehicle collision,3,3,Going straight,Changing lane to the left,Slight Injury,No,No,25.81328662,-80.2319748,1
10.42.0.1-10.42.0.42-53-25048-17,29,2.8,15-11-22 12:53,40,Male,Owner,1-2yr,Other, Outside rural areas,No junction,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury,No,No,25.46945939,-80.47479756,1
10.42.0.211-10.42.0.1-21204-53-17,28,2.5,15-11-22 12:57,50,Male,Owner,5-10yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury,No,No,26.00985646,-80.38751669,1
10.42.0.151-10.42.0.1-23704-53-17,31,3.3,15-11-22 12:58,60,Male,Employee,2-5yr,Taxi, Outside rural areas,Y Shape,Vehicle with vehicle collision,1,1,Other,No distancing,Slight Injury,No,No,27.81102372,-82.6544888,1
203.205.151.47-10.42.0.151-80-60293-6,29,2.8,15-11-22 13:02,45,Male,Employee,2-5yr,Other, Outside rural areas,Y Shape,Vehicle with vehicle collision,2,1,Reversing,Getting off the vehicle improperly,Slight Injury,No,No,26.252264,-80.253333,1
10.42.0.211-120.76.223.181-33823-84-6,29,2,15-11-22 13:05,45,Male,Employee,2-5yr,Taxi, Outside rural areas,Y Shape,Vehicle with vehicle collision,2,1,Other,Driving under the influence of drugs,Slight Injury,Yes,Yes,29.40433154,-81.51043071,0
10.42.0.151-119.146.74.34-59399-80-6,31,2.8,15-11-22 13:09,50,Male,Employee,Above 10yr,Lorry (11?40Q),Office areas,Y Shape,Vehicle with vehicle collision,2,2,Other,Changing lane to the right,Slight Injury,No,No,25.854,-80.211261,1
10.42.0.211-103.235.46.211-43500-443-6,27,3,15-11-22 13:13,50,Male,Employee,2-5yr,Automobile,  Recreational areas,Y Shape,Vehicle with vehicle collision,2,2,Reversing,Driving carelessly,Slight Injury,Yes,Yes,28.23183143,-81.29232388,0
10.42.0.211-10.42.0.1-63691-53-17,42,2.1,15-11-22 13:15,40,Male,Employee,1-2yr,Other,Office areas,No junction,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Slight Injury,Yes,Yes,28.55647715,-81.3758181,0
183.79.250.123-10.42.0.211-443-33980-6,28,3,15-11-22 13:19,55,Female,Employee,2-5yr,Automobile,Other,No junction,Collision with roadside objects,2,1,Going straight,Turnover,Slight Injury,Yes,Yes,28.13743852,-82.2843723,0
172.217.6.234-10.42.0.151-443-50234-6,32,2.6,15-11-22 13:21,60,Male,Employee,5-10yr,Automobile,Residential areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury,No,No,28.67420859,-81.50496369,1
10.42.0.211-77.234.44.42-53607-80-6,35,1.8,15-11-22 13:27,40,Male,Employee,1-2yr,Automobile,Residential areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury,Yes,Yes,29.89116424,-81.29876961,0
175.100.207.231-10.42.0.211-80-40280-6,26,2.1,15-11-22 13:30,45,Male,Employee,1-2yr,Automobile,Residential areas,Y Shape,Vehicle with vehicle collision,2,2,Turnover,No priority to vehicle,Slight Injury,No,No,26.66125697,-80.12008217,1
10.42.0.211-103.235.46.211-37397-80-6,32,3.7,15-11-22 13:31,40,Male,Employee,2-5yr,Lorry (41?100Q),Other,Y Shape,Vehicle with vehicle collision,2,2,Going straight,Moving Backward,Slight Injury,Yes,Yes,30.38210996,-81.6494381,0
157.55.56.163-10.42.0.211-40027-60774-17,27,2.6,15-11-22 13:36,25,Male,Employee,Above 10yr,Other,Office areas,O Shape,Collision with pedestrians,2,2,Going straight,Changing lane to the left,Slight Injury,No,No,28.68630574,-81.39267917,1
172.217.12.162-10.42.0.211-443-58919-6,35,2.7,15-11-22 13:46,40,Male,Employee,Below 1yr,Pick up upto 10Q,Other,O Shape,Vehicle with vehicle collision,2,2,Going straight,Overturning,Slight Injury,Yes,Yes,30.12416053,-81.51584966,0
172.217.10.10-10.42.0.151-443-33640-6,29,2.7,15-11-22 14:07,40,Male,Employee,Above 10yr,Pick up upto 10Q,Other,O Shape,Vehicle with vehicle collision,2,2,Going straight,No distancing,Slight Injury,No,No,28.77193562,-81.27139674,1
148.103.81.103-10.42.0.151-22066-43477-17,28,2.1,15-11-22 14:12,45,Unknown,Owner,5-10yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,2,2,Going straight,Driving carelessly,Slight Injury,No,No,30.91196845,-87.16698483,1
10.42.0.211-98.139.225.43-56640-443-6,30,1.8,15-11-22 14:27,50,Male,Employee,Above 10yr,Long lorry, Church areas,No junction,Vehicle with vehicle collision,2,2,Moving Backward,No distancing,Slight Injury,Yes,Yes,28.53711751,-81.56856851,0
10.42.0.211-72.30.2.182-48944-443-6,32,2.1,15-11-22 14:37,40,Female,Employee,1-2yr,Automobile,Other,No junction,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the left,Slight Injury,No,No,30.49222,-84.256061,1
172.217.7.228-10.42.0.151-443-38793-6,32,2.5,15-11-22 14:42,45,Male,Owner,1-3yr,Public (13?45 seats),Other,No junction,Vehicle with vehicle collision,3,4,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,28.55063345,-82.17010719,0
203.130.53.126-10.42.0.211-80-56522-6,34,2.5,15-11-22 14:47,75,Male,Owner,5-10yr,Lorry (41?100Q),Office areas,No junction,Vehicle with vehicle collision,3,4,Turnover,No distancing,Slight Injury,Yes,Yes,30.06353447,-81.70907003,0
209.10.120.26-10.42.0.211-80-40094-6,28,2.2,15-11-22 14:49,25,Male,Employee,2-5yr,Public (13?45 seats),Office areas,No junction,Vehicle with vehicle collision,3,4,Going straight,No distancing,Slight Injury,No,No,30.31323251,-81.59287562,1
10.42.0.151-64.71.142.124-40002-80-6,29,3.4,15-11-22 14:56,65,Male,Owner,1-3yr,Other,Office areas,No junction,Collision with pedestrians,3,4,Going straight,Changing lane to the left,Slight Injury,No,No,26.54478589,-81.8583991,1
172.217.10.110-10.42.0.151-443-58144-6,27,5,15-11-22 15:15,60,Male,Owner,1-3yr,Lorry (41?100Q),Office areas,No junction,Vehicle with vehicle collision,3,4,Going straight,No distancing,Slight Injury,Yes,Yes,25.76109051,-80.25739608,0
10.42.0.211-10.42.0.1-41607-53-17,28,3,15-11-22 15:16,20,Female,Owner,1-2yr,Lorry (41?100Q),,No junction,Vehicle with vehicle collision,3,4,Going straight,Changing lane to the left,Slight Injury,No,No,27.26398,-80.372001,1
10.42.0.211-115.236.16.203-54622-80-6,35,3.9,15-11-22 15:22,40,Male,Employee,1-2yr,Long lorry,Office areas,No junction,Vehicle with vehicle collision,1,4,Going straight,No distancing,Slight Injury,Yes,Yes,30.25959656,-81.57864485,0
209.10.120.26-10.42.0.211-80-43444-6,27,4.3,15-11-22 15:24,40,Male,Employee,1-2yr,Pick up upto 10Q,Other,No junction,Vehicle with vehicle collision,1,4,Going straight,No distancing,Slight Injury,No,No,45.01669,-93.458191,1
10.42.0.1-10.42.0.42-53-49918-17,25,2.6,15-11-22 15:31,45,Male,Employee,Above 10yr,Pick up upto 10Q,Other,No junction,Collision with roadside objects,1,4,Moving Backward,No distancing,Slight Injury,Yes,Yes,28.55714089,-81.83147247,0
203.205.144.183-10.42.0.151-80-40562-6,32,3.2,15-11-22 15:47,60,Male,Employee,1-2yr,Lorry (41?100Q),Other,No junction,Vehicle with vehicle collision,1,4,Going straight,Changing lane to the left,Slight Injury,No,No,29.18056383,-82.13721483,1
10.42.0.151-10.42.0.1-17950-53-17,30,3.5,15-11-22 15:49,40,Male,Owner,Above 10yr,Lorry (41?100Q),Office areas,Y Shape,Vehicle with vehicle collision,3,2,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,28.28534407,-81.33694915,0
10.42.0.211-64.71.142.124-35339-443-6,30,2.7,15-11-22 15:56,40,Male,Employee,Above 10yr,Automobile,Office areas,Y Shape,Vehicle with vehicle collision,3,2,Going straight,Moving Backward,Slight Injury,Yes,Yes,28.28239255,-81.41551062,0
10.42.0.211-10.42.0.1-58252-53-17,35,3,15-11-22 16:04,60,Male,Employee,1-2yr,Other,Office areas,Y Shape,Vehicle with vehicle collision,3,2,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,28.57219702,-81.74685738,0
216.58.219.226-10.42.0.211-443-44824-6,30,3.5,15-11-22 16:04,40,Male,Employee,1-2yr,Car,Office areas,Y Shape,Vehicle with vehicle collision,3,1,Moving Backward,No distancing,Slight Injury,Yes,Yes,25.76805206,-80.19530343,0
10.42.0.151-121.12.98.63-45018-80-6,29,2.3,15-11-22 16:08,55,Male,Employee,2-5yr,Other, Church areas,Y Shape,Vehicle with vehicle collision,3,1,Going straight,Overtaking,Slight Injury,Yes,Yes,25.48035698,-80.47709251,0
172.217.12.130-10.42.0.211-443-46899-6,30,2.6,15-11-22 16:16,80,Male,Employee,2-5yr,Automobile,Office areas,Y Shape,Vehicle with vehicle collision,3,1,Other,Other,Slight Injury,No,No,27.84319114,-82.82469693,1
208.185.50.75-10.42.0.151-443-47080-6,41,3.7,15-11-22 16:21,45,Male,Employee,1-2yr,Pick up upto 10Q,Residential areas,Crossing,Collision with roadside objects,2,2,Other,Other,Slight Injury,No,No,28.61315855,-81.36428521,1
192.229.173.173-10.42.0.211-80-44582-6,25,3.5,15-11-22 16:24,45,Male,Employee,5-10yr,Automobile,School areas,Crossing,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,30.31583425,-81.57950962,0
10.42.0.211-64.71.142.124-42995-443-6,33,3,15-11-22 16:26,40,Male,Employee,5-10yr,Public (12 seats),Office areas,Unknown,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,25.75417523,-80.20944575,0
10.42.0.211-10.42.0.1-50242-53-17,38,3.1,15-11-22 16:27,45,Male,Employee,1-2yr,Automobile,Other,Unknown,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight Injury,Yes,Yes,28.80564868,-81.88655379,0
10.42.0.211-54.192.38.236-54565-443-6,35,3,15-11-22 16:33,40,Male,Other,5-10yr,Other,Other,No junction,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the left,Slight Injury,No,No,28.13146056,-81.93786682,1
172.217.11.10-10.42.0.151-443-57292-6,30,3.2,15-11-22 16:33,45,Male,Employee,2-5yr,Public (12 seats),Other,No junction,Rollover,2,2,Other,Changing lane to the left,Slight Injury,No,No,28.34816099,-80.7421208,1
10.42.0.211-103.7.30.118-39228-80-6,28,4.3,15-11-22 16:39,30,Male,Employee,5-10yr,Stationwagen,Other,No junction,Vehicle with vehicle collision,2,2,Going straight,Overtaking,Slight Injury,No,No,26.13432183,-80.28900543,1
157.240.18.35-10.42.0.42-443-34599-6,29,3.4,15-11-22 16:54,60,Male,Employee,Above 10yr,Lorry (41?100Q),Office areas,Y Shape,Vehicle with vehicle collision,3,2,Getting off,No distancing,Slight Injury,No,No,28.31906576,-81.53995196,1
10.42.0.211-52.84.145.171-58226-443-6,29,2.4,15-11-22 17:03,35,Male,Employee,Above 10yr,Lorry (41?100Q),Office areas,Y Shape,Collision with roadside objects,3,2,Going straight,No priority to vehicle,Slight Injury,No,No,28.78982434,-81.35879519,1
10.42.0.211-52.84.6.107-50537-443-6,24,2.4,15-11-22 17:05,50,Male,Owner,2-5yr,Lorry (41?100Q),Office areas,Y Shape,Vehicle with vehicle collision,3,2,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,30.14539571,-81.5824861,0
10.42.0.151-87.240.165.91-51142-80-6,28,2.6,15-11-22 17:06,25,Female,Employee,5-10yr,Automobile,Office areas,Y Shape,Vehicle with vehicle collision,1,1,Going straight,Changing lane to the left,Slight Injury,No,No,30.30518,-81.632431,1
172.217.6.238-10.42.0.211-443-37330-6,30,3,15-11-22 17:12,55,Male,Owner,1-2yr,Lorry (41?100Q),Office areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury,Yes,Yes,25.94602926,-81.70320097,0
192.229.173.173-10.42.0.211-80-51970-6,29,4.7,15-11-22 17:16,30,Male,Employee,Above 10yr,Car,Office areas,Y Shape,Collision with roadside objects,2,1,Going straight,Driving carelessly,Slight Injury,Yes,Yes,26.25249785,-80.25394949,0
10.42.0.211-10.42.0.1-27649-53-17,35,3.9,15-11-22 17:16,30,Male,Employee,5-10yr,Public (12 seats),Office areas,T Shape,Collision with roadside objects,2,1,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,25.7991,-80.191101,0
10.42.0.211-47.88.68.21-39904-443-6,28,2.1,15-11-22 17:23,40,Male,Employee,2-5yr,Automobile,Other,T Shape,Vehicle with vehicle collision,2,1,Moving Backward,Driving carelessly,Slight Injury,No,No,25.63889,-80.438674,1
10.42.0.211-103.7.30.118-39224-80-6,28,2.7,15-11-22 17:24,60,Male,Employee,Above 10yr,Stationwagen,Other,No junction,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Slight Injury,Yes,Yes,28.07626631,-82.46803691,0
172.217.6.234-10.42.0.211-443-38558-6,30,3.4,15-11-22 17:30,45,Female,Employee,2-5yr,Automobile,Residential areas,No junction,Collision with roadside objects,2,1,Other,No distancing,Slight Injury,No,No,29.07933009,-82.26123386,1
10.42.0.151-47.88.66.107-60090-443-6,29,4.3,15-11-22 17:34,75,Male,Employee,Above 10yr,Lorry (41?100Q),Other,Y Shape,Collision with roadside objects,1,1,Going straight,No distancing,Slight Injury,Yes,Yes,26.00460852,-80.31409612,0
10.42.0.211-106.11.14.99-50964-443-6,29,3.4,15-11-22 17:34,50,Male,Employee,Above 10yr,Other,Other,Y Shape,Vehicle with vehicle collision,4,4,Going straight,No distancing,Slight Injury,No,No,29.56039508,-81.22215872,1
172.233.128.50-10.42.0.211-80-41246-6,28,2.6,15-11-22 17:39,40,Male,Employee,2-5yr,Pick up upto 10Q,Other,Y Shape,Vehicle with vehicle collision,4,4,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,28.55116,-81.104081,0
10.42.0.151-119.146.74.34-42485-80-6,28,2.9,15-11-22 17:39,40,Male,Employee,Above 10yr,Car,Other,Y Shape,Vehicle with vehicle collision,4,4,Going straight,Changing lane to the left,Slight Injury,No,No,28.55217,-81.387981,1
10.42.0.211-106.39.169.66-33620-443-6,26,2.1,15-11-22 17:43,45,Male,Employee,Above 10yr,Lorry (41?100Q), Industrial areas,Y Shape,Collision with roadside objects,4,4,,Moving Backward,Slight Injury,No,No,28.46043,-81.486831,1
172.217.3.99-10.42.0.211-443-37726-6,22,3.2,15-11-22 17:46,40,Female,Employee,Below 1yr,Automobile, Industrial areas,Y Shape,Vehicle with vehicle collision,4,4,Moving Backward,Changing lane to the right,Slight Injury,Yes,Yes,25.69385068,-80.28322528,0
10.42.0.211-123.125.29.220-35716-80-6,33,2.4,15-11-22 17:49,60,Female,Owner,Above 10yr,Public (13?45 seats), Church areas,Y Shape,Collision with roadside-parked vehicles,4,4,,No priority to vehicle,Slight Injury,No,No,26.7236,-80.112011,1
10.42.0.151-10.42.0.1-6628-53-17,28,1.9,15-11-22 17:50,50,Male,Other,Above 10yr,Automobile,Other,No junction,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Slight Injury,Yes,Yes,26.08596,-80.373161,0
10.42.0.211-64.71.142.125-60593-443-6,26,3.4,15-11-22 17:54,55,Male,Employee,5-10yr,Lorry (41?100Q),Other,No junction,Collision with roadside objects,2,1,Going straight,Driving carelessly,Slight Injury,Yes,Yes,26.70402197,-80.05111248,0
10.42.0.42-52.84.143.34-50235-80-6,29,3.7,15-11-22 17:54,45,Male,Owner,1-3yr,Public (12 seats),Office areas,No junction,Vehicle with vehicle collision,3,3,,Driving carelessly,Slight Injury,No,No,25.71789784,-80.30391627,1
172.217.3.110-10.42.0.151-443-34309-17,34,3,15-11-22 17:58,50,Male,Employee,5-10yr,Motorcycle,Office areas,No junction,Vehicle with vehicle collision,3,3,Going straight,Driving under the influence of drugs,Slight Injury,No,No,30.33701634,-81.57628023,1
10.42.0.211-10.42.0.1-57149-53-17,24,2.2,15-11-22 18:00,40,Male,Employee,5-10yr,Public (12 seats),Residential areas,No junction,Vehicle with vehicle collision,3,3,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,26.21695579,-80.12278657,0
211.103.34.67-10.42.0.211-10000-39996-6,33,3.1,15-11-22 18:02,40,Male,Owner,Below 1yr,Lorry (41?100Q), Industrial areas,No junction,Vehicle with vehicle collision,3,3,Going straight,No priority to vehicle,Slight Injury,No,No,25.90033511,-80.25237315,1
10.42.0.42-104.244.42.2-51397-443-6,25,3.3,15-11-22 18:36,55,Male,Employee,5-10yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,3,3,Going straight,Driving carelessly,Slight Injury,Yes,Yes,30.50431216,-84.25876596,0
172.217.12.193-10.42.0.211-443-48099-6,30,3.2,15-11-22 18:36,55,Male,Employee,2-5yr,Lorry (41?100Q),Other,No junction,Collision with roadside-parked vehicles,3,1,Going straight,Moving Backward,Slight Injury,No,No,26.06610045,-80.22720418,1
10.42.0.151-58.250.11.11-44364-80-6,25,2.8,15-11-22 18:39,40,Male,Owner,2-5yr,Stationwagen,Other,No junction,Collision with roadside-parked vehicles,3,1,Going straight,Driving carelessly,Slight Injury,Yes,Yes,30.44385421,-84.22756466,0
10.42.0.211-52.84.29.134-60619-443-6,34,3.3,15-11-22 18:40,45,Male,Employee,2-5yr,Pick up upto 10Q,Residential areas,No junction,Collision with animals,3,1,Going straight,No priority to vehicle,Slight Injury,No,No,28.05791,-82.550221,1
172.217.3.106-10.42.0.151-443-57677-6,23,3.4,15-11-22 18:41,40,Male,Owner,2-5yr,Automobile,Office areas,No junction,Collision with animals,1,1,Other,Changing lane to the right,Serious Injury,Yes,Yes,30.33290691,-81.73156634,0
10.42.0.211-10.42.0.1-60305-53-17,34,3.3,15-11-22 18:48,40,Male,Employee,Above 10yr,Automobile,Residential areas,Crossing,Collision with animals,2,1,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,28.524719,-81.34496862,0
180.149.136.247-10.42.0.42-80-42372-6,28,3.9,16-11-22 8:49,55,Male,Employee,2-5yr,Car,Office areas,Crossing,Collision with animals,2,1,Going straight,No priority to vehicle,Slight Injury,Yes,Yes,28.15292257,-81.43801955,0
180.76.182.155-10.42.0.211-80-52350-6,26,2.4,16-11-22 8:55,40,Male,Employee,1-2yr,Other, Church areas,Y Shape,Collision with animals,3,2,Going straight,Driving carelessly,Slight Injury,Yes,Yes,29.63390003,-82.47494646,0
172.217.12.163-10.42.0.42-443-40384-6,35,2.8,16-11-22 9:00,50,Male,Employee,2-5yr,Automobile,Residential areas,Y Shape,Collision with animals,3,2,Going straight,Moving Backward,Slight Injury,Yes,Yes,28.69891965,-81.33081773,0
172.217.10.227-10.42.0.151-443-36069-6,25,1.9,16-11-22 9:03,45,Male,Employee,1-2yr,Public (13?45 seats),School areas,Y Shape,Collision with animals,3,2,Going straight,Overtaking,Slight Injury,No,No,28.57870833,-81.49328238,1
10.42.0.211-10.42.0.1-60579-53-17,27,3.8,16-11-22 9:10,40,Male,Employee,5-10yr,Public (13?45 seats), Hospital areas,Y Shape,Collision with animals,3,2,Going straight,Changing lane to the left,Slight Injury,No,No,30.38103702,-86.22601526,1
192.229.173.173-10.42.0.211-443-50768-6,24,2.4,16-11-22 9:15,45,Male,Employee,5-10yr,Automobile,Other,Y Shape,Collision with animals,3,2,Moving Backward,Changing lane to the right,Slight Injury,Yes,Yes,26.10591568,-80.25840533,0
8.0.6.4-8.6.0.1-0-0-0,29,2.6,16-11-22 9:25,50,Male,Owner,2-5yr,Public (12 seats),School areas,Y Shape,Collision with animals,3,2,Going straight,Overtaking,Slight Injury,Yes,Yes,28.96643425,-80.89332091,0
10.42.0.211-123.59.190.237-60954-80-6,33,1.9,16-11-22 9:37,60,Male,Employee,Below 1yr,Public (12 seats),Other,Y Shape,Collision with animals,1,1,Going straight,Overloading,Serious Injury,Yes,Yes,30.51711791,-82.94702173,0
172.217.12.142-10.42.0.151-443-52842-6,26,3.4,16-11-22 9:43,60,Male,Owner,1-3yr,Lorry (41?100Q), Industrial areas,Unknown,Collision with animals,1,1,Going straight,Other,Serious Injury,No,No,30.33070569,-81.71386387,1
172.217.10.99-10.42.0.151-443-41068-6,35,3.8,16-11-22 9:47,45,Male,Employee,Above 10yr,Automobile, Church areas,Other,Other,2,1,Going straight,No priority to vehicle,Slight Injury,No,No,25.86915565,-80.32507232,1
10.42.0.211-23.194.181.192-53889-443-6,29,3.5,16-11-22 9:53,30,Female,Employee,1-2yr,Pick up upto 10Q,Office areas,Other,Rollover,2,1,Going straight,Changing lane to the right,Slight Injury,No,No,30.47616133,-84.29591825,1
10.42.0.211-104.244.43.67-51529-443-6,29,2.6,16-11-22 9:53,40,Female,Owner,5-10yr,Pick up upto 10Q,Other,No junction,Collision with animals,2,2,Going straight,Moving Backward,Slight Injury,No,No,28.54522709,-81.36494813,1
216.58.219.238-10.42.0.151-443-45205-6,34,3.1,16-11-22 10:01,55,Male,Employee,1-2yr,Lorry (41?100Q),Office areas,No junction,Rollover,2,2,Going straight,Changing lane to the left,Slight Injury,No,No,25.68783857,-80.35658097,1
10.42.0.151-64.71.142.125-33335-443-6,25,2,16-11-22 10:06,40,Male,Employee,Above 10yr,Automobile,Office areas,No junction,Collision with animals,2,2,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,25.68674023,-80.40144151,0
10.42.0.211-61.174.50.211-41754-8080-6,23,2.3,16-11-22 10:13,35,Male,Employee,Below 1yr,Stationwagen,Office areas,No junction,Collision with animals,2,1,Going straight,No distancing,Slight Injury,No,No,25.49888,-80.419461,1
10.42.0.151-112.80.248.187-50472-80-6,29,2.6,16-11-22 10:17,40,Male,Employee,2-5yr,Motorcycle,Residential areas,No junction,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight Injury,Yes,Yes,29.00839638,-82.01076953,0
10.42.0.211-10.42.0.1-9546-53-17,29,3.5,16-11-22 10:20,40,Male,Employee,5-10yr,Car,Office areas,No junction,Fall from vehicles,1,1,Going straight,No distancing,Slight Injury,Yes,Yes,25.60621074,-80.35292145,0
239.255.255.250-10.42.0.1-1900-34357-17,25,2.9,16-11-22 10:23,45,Male,Employee,5-10yr,Other,Other,No junction,Collision with roadside-parked vehicles,1,1,Going straight,No distancing,Slight Injury,Yes,Yes,31.13792076,-83.77032404,0
8.0.6.4-8.6.0.1-0-0-0,28.5,3.7,16-11-22 10:35,25,Male,Owner,1-2yr,Automobile, Industrial areas,Other,Collision with roadside-parked vehicles,2,1,Other,Moving Backward,Slight Injury,No,No,33.16310318,-84.45231355,1
10.42.0.151-10.42.0.1-52402-53-17,30,3.6,16-11-22 10:38,40,Male,Employee,5-10yr,Automobile,Other,Other,Rollover,2,1,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,33.7036,-84.268651,0
172.217.11.35-10.42.0.151-80-43104-6,29,2.2,16-11-22 10:42,45,Male,Other,1-3yr,Car,Office areas,Y Shape,Collision with animals,2,1,Going straight,No priority to pedestrian,Slight Injury,No,No,33.68064621,-84.17441515,1
209.10.120.26-10.42.0.211-80-42814-6,30,2.4,16-11-22 10:49,40,Male,Employee,2-5yr,Public (> 45 seats),Office areas,Y Shape,Collision with animals,2,1,Going straight,Moving Backward,Slight Injury,Yes,Yes,33.69914324,-84.2522948,0
157.240.14.10-10.42.0.151-443-53698-6,29,4.4,16-11-22 10:51,40,Male,Employee,1-2yr,Automobile,,O Shape,Fall from vehicles,2,1,Going straight,Getting off the vehicle improperly,Slight Injury,No,No,33.75679538,-84.35439193,1
172.217.10.46-10.42.0.151-443-39789-6,29,2.7,16-11-22 10:51,45,Male,Employee,5-10yr,Other,Other,O Shape,Collision with roadside-parked vehicles,2,1,Going straight,Overtaking,Slight Injury,Yes,Yes,33.69125997,-84.41176951,0
10.42.0.211-66.198.24.225-55319-80-6,29,2.2,16-11-22 10:54,45,Male,Employee,2-5yr,Automobile,Office areas,Crossing,Collision with animals,2,2,Going straight,Overloading,Slight Injury,No,No,29.44133356,-82.46314268,1
10.42.0.42-106.39.169.66-58307-80-6,28.5,5.2,16-11-22 10:55,45,Male,Employee,No Licence,Other,Office areas,Crossing,Collision with animals,2,2,Going straight,Changing lane to the right,Slight Injury,No,No,29.21672,-81.051571,1
